danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.443,0.534,11,-8.349,1,0.0328,0.613,0.0,0.151,0.651,115.234,audio_features,1NlwiyN4GGn3gVgyZ8T5AW,spotify:track:1NlwiyN4GGn3gVgyZ8T5AW,https://api.spotify.com/v1/tracks/1NlwiyN4GGn3gVgyZ8T5AW,https://api.spotify.com/v1/audio-analysis/1NlwiyN4GGn3gVgyZ8T5AW,232827,4
0.732,0.481,0,-10.478,1,0.0315,0.502,0.00998,0.103,0.512,124.989,audio_features,2RFPhTEa4Z7WMV4608WBOJ,spotify:track:2RFPhTEa4Z7WMV4608WBOJ,https://api.spotify.com/v1/tracks/2RFPhTEa4Z7WMV4608WBOJ,https://api.spotify.com/v1/audio-analysis/2RFPhTEa4Z7WMV4608WBOJ,223721,4
0.317,0.201,3,-12.335,1,0.0332,0.713,4.67e-05,0.176,0.152,123.98,audio_features,35sEqwW23uB0PqZATuQVjW,spotify:track:35sEqwW23uB0PqZATuQVjW,https://api.spotify.com/v1/tracks/35sEqwW23uB0PqZATuQVjW,https://api.spotify.com/v1/audio-analysis/35sEqwW23uB0PqZATuQVjW,273235,4
0.64,0.552,0,-7.327,0,0.354,0.0764,0.0,0.107,0.318,135.241,audio_features,7pXNFEzqeZB8rIbcFtYTop,spotify:track:7pXNFEzqeZB8rIbcFtYTop,https://api.spotify.com/v1/tracks/7pXNFEzqeZB8rIbcFtYTop,https://api.spotify.com/v1/audio-analysis/7pXNFEzqeZB8rIbcFtYTop,185365,4
0.648,0.43,1,-19.478,1,0.0462,0.0317,0.816,0.0645,0.885,107.951,audio_features,3ySDVmNt3aX7J5LpM0FNAq,spotify:track:3ySDVmNt3aX7J5LpM0FNAq,https://api.spotify.com/v1/tracks/3ySDVmNt3aX7J5LpM0FNAq,https://api.spotify.com/v1/audio-analysis/3ySDVmNt3aX7J5LpM0FNAq,354562,4
0.763,0.901,0,-9.126,1,0.0457,0.00205,0.807,0.212,0.288,112.833,audio_features,7dFS1FBiGkZpEYLLf6Y54X,spotify:track:7dFS1FBiGkZpEYLLf6Y54X,https://api.spotify.com/v1/tracks/7dFS1FBiGkZpEYLLf6Y54X,https://api.spotify.com/v1/audio-analysis/7dFS1FBiGkZpEYLLf6Y54X,652572,4
0.515,0.587,1,-12.036,1,0.0305,0.802,0.843,0.11,0.559,97.964,audio_features,1ETl1FlO7G2svRBUYiGEEH,spotify:track:1ETl1FlO7G2svRBUYiGEEH,https://api.spotify.com/v1/tracks/1ETl1FlO7G2svRBUYiGEEH,https://api.spotify.com/v1/audio-analysis/1ETl1FlO7G2svRBUYiGEEH,334347,4
0.365,0.252,9,-15.823,0,0.0493,0.91,0.534,0.213,0.155,103.276,audio_features,5apWXYw5Xh8lawxhLOMKtr,spotify:track:5apWXYw5Xh8lawxhLOMKtr,https://api.spotify.com/v1/tracks/5apWXYw5Xh8lawxhLOMKtr,https://api.spotify.com/v1/audio-analysis/5apWXYw5Xh8lawxhLOMKtr,510411,4
0.445,0.235,5,-13.378,1,0.051,0.821,1.07e-05,0.108,0.281,75.248,audio_features,3tjJX0cjVEGtmxcqu6PsZv,spotify:track:3tjJX0cjVEGtmxcqu6PsZv,https://api.spotify.com/v1/tracks/3tjJX0cjVEGtmxcqu6PsZv,https://api.spotify.com/v1/audio-analysis/3tjJX0cjVEGtmxcqu6PsZv,300720,4
0.676,0.483,10,-8.5,0,0.14,0.311,0.0,0.11,0.447,83.05,audio_features,1NY9g5OFUoezXeTveFYWSM,spotify:track:1NY9g5OFUoezXeTveFYWSM,https://api.spotify.com/v1/tracks/1NY9g5OFUoezXeTveFYWSM,https://api.spotify.com/v1/audio-analysis/1NY9g5OFUoezXeTveFYWSM,220612,4
0.621,0.623,1,-4.653,0,0.11,0.102,3.25e-05,0.363,0.624,199.788,audio_features,0oXQppF7nPJG4ZM83OyKIG,spotify:track:0oXQppF7nPJG4ZM83OyKIG,https://api.spotify.com/v1/tracks/0oXQppF7nPJG4ZM83OyKIG,https://api.spotify.com/v1/audio-analysis/0oXQppF7nPJG4ZM83OyKIG,57445,4
0.602,0.966,4,-5.835,0,0.0681,0.14,3.45e-06,0.108,0.845,119.561,audio_features,1BUWbJwPCBcTLiQBE5gBdI,spotify:track:1BUWbJwPCBcTLiQBE5gBdI,https://api.spotify.com/v1/tracks/1BUWbJwPCBcTLiQBE5gBdI,https://api.spotify.com/v1/audio-analysis/1BUWbJwPCBcTLiQBE5gBdI,228467,4
0.593,0.935,4,-3.43,0,0.225,0.268,0.0,0.286,0.783,99.976,audio_features,0a4MMyCrzT0En247IhqZbD,spotify:track:0a4MMyCrzT0En247IhqZbD,https://api.spotify.com/v1/tracks/0a4MMyCrzT0En247IhqZbD,https://api.spotify.com/v1/audio-analysis/0a4MMyCrzT0En247IhqZbD,179027,4
0.885,0.443,2,-10.918,1,0.0408,0.202,0.0832,0.097,0.958,113.69,audio_features,06yIpfgaNLWjXNWDdWnCV2,spotify:track:06yIpfgaNLWjXNWDdWnCV2,https://api.spotify.com/v1/tracks/06yIpfgaNLWjXNWDdWnCV2,https://api.spotify.com/v1/audio-analysis/06yIpfgaNLWjXNWDdWnCV2,429213,4
0.742,0.746,11,-7.294,0,0.0504,0.606,0.000685,0.0806,0.767,134.905,audio_features,6Jx6VW69DwGav5Pb0jl7BU,spotify:track:6Jx6VW69DwGav5Pb0jl7BU,https://api.spotify.com/v1/tracks/6Jx6VW69DwGav5Pb0jl7BU,https://api.spotify.com/v1/audio-analysis/6Jx6VW69DwGav5Pb0jl7BU,208507,4
0.515,0.687,0,-10.081,1,0.0353,0.268,0.721,0.066,0.413,117.718,audio_features,16GIRXYEMRhfjP6H9fRCib,spotify:track:16GIRXYEMRhfjP6H9fRCib,https://api.spotify.com/v1/tracks/16GIRXYEMRhfjP6H9fRCib,https://api.spotify.com/v1/audio-analysis/16GIRXYEMRhfjP6H9fRCib,352843,5
0.631,0.63,6,-8.347,0,0.116,0.544,2.92e-05,0.196,0.436,101.187,audio_features,0leCG4CC25NRMXOxQ2Jmti,spotify:track:0leCG4CC25NRMXOxQ2Jmti,https://api.spotify.com/v1/tracks/0leCG4CC25NRMXOxQ2Jmti,https://api.spotify.com/v1/audio-analysis/0leCG4CC25NRMXOxQ2Jmti,206270,4
